frame_idx,n_gt_persons,n_pred_persons,n_tp,n_fp,n_fn,max_pred_conf
84,1,1,1,0,0,0.8451042771339417
86,1,1,1,0,0,0.8362765312194824
88,1,1,1,0,0,0.8506855964660645
90,2,1,1,0,1,0.8455755114555359
92,1,1,1,0,0,0.8739655613899231
94,1,1,1,0,0,0.8740830421447754
96,1,1,1,0,0,0.8610938787460327
98,1,1,1,0,0,0.8586878776550293
100,1,1,1,0,0,0.8802573680877686
102,1,1,1,0,0,0.8861120939254761
104,1,1,1,0,0,0.879369854927063
106,1,1,1,0,0,0.8817451000213623
108,1,1,1,0,0,0.8826501965522766
110,1,1,1,0,0,0.8790720105171204
112,1,1,1,0,0,0.8721190690994263
114,1,1,1,0,0,0.8728867173194885
116,1,1,1,0,0,0.8909726142883301
118,1,1,1,0,0,0.8902877569198608
120,1,1,1,0,0,0.8646236658096313
122,1,1,1,0,0,0.8826143741607666
124,1,1,1,0,0,0.881841778755188
126,1,1,1,0,0,0.8728455901145935
128,1,1,1,0,0,0.8788657784461975
130,1,1,1,0,0,0.8888936638832092
132,1,1,1,0,0,0.8635048866271973
134,1,1,1,0,0,0.8578419089317322
136,1,1,1,0,0,0.8730234503746033
138,1,1,1,0,0,0.8772002458572388
140,1,1,1,0,0,0.8864002227783203
142,1,1,1,0,0,0.8802351355552673
144,1,1,1,0,0,0.8518968820571899
146,1,1,1,0,0,0.8578031659126282
148,1,1,1,0,0,0.8837800025939941
150,1,1,1,0,0,0.8877931237220764
152,1,1,1,0,0,0.891343355178833
154,1,1,1,0,0,0.8820366859436035
156,1,1,1,0,0,0.8847007751464844
158,1,1,1,0,0,0.8621657490730286
160,1,1,1,0,0,0.8734097480773926
162,1,1,1,0,0,0.8905742168426514
164,1,1,1,0,0,0.861219584941864
166,1,1,1,0,0,0.8781632781028748
168,1,1,1,0,0,0.8577950596809387
170,1,1,1,0,0,0.8737174272537231
172,1,1,1,0,0,0.8953853249549866
174,1,1,1,0,0,0.8774271607398987
176,1,1,1,0,0,0.8878464102745056
178,1,1,1,0,0,0.8847746849060059
180,1,1,1,0,0,0.8860105872154236
182,1,1,1,0,0,0.8528445363044739
184,1,1,1,0,0,0.7914542555809021
186,1,1,1,0,0,0.8592942953109741
188,1,1,1,0,0,0.8560658693313599
190,1,1,1,0,0,0.8617742657661438
192,1,1,1,0,0,0.8835753798484802
194,1,1,1,0,0,0.8681268095970154
196,1,1,1,0,0,0.8023843765258789
198,1,1,1,0,0,0.8629521131515503
200,1,1,1,0,0,0.8689202070236206
202,1,1,1,0,0,0.865183413028717
204,1,1,1,0,0,0.8539453148841858
206,1,1,1,0,0,0.8739374876022339
208,1,1,1,0,0,0.8620196580886841
210,1,1,1,0,0,0.8797298073768616
212,1,1,1,0,0,0.8462521433830261
214,1,1,1,0,0,0.8255437016487122
216,1,1,1,0,0,0.8542001247406006
218,1,1,1,0,0,0.8571707606315613
220,1,1,1,0,0,0.8478768467903137
222,1,1,1,0,0,0.8266075253486633
224,1,1,1,0,0,0.8427981734275818
226,1,1,1,0,0,0.864608645439148
228,1,1,1,0,0,0.8500051498413086
230,1,1,1,0,0,0.8623020648956299
232,1,1,1,0,0,0.7806852459907532
234,1,1,1,0,0,0.8172874450683594
236,1,1,1,0,0,0.813624382019043
238,1,1,1,0,0,0.7669974565505981
240,1,0,0,0,1,0.0
