frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,12.000000,0.654842,10.845158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
1,0.100000,11.800106,0.654842,10.645264,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
2,0.200000,11.600431,0.654842,10.445589,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
3,0.300000,11.400987,0.654842,10.246144,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
4,0.400000,11.201785,0.654842,10.046943,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
5,0.500000,11.002841,0.654842,9.847999,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
6,0.600000,10.804166,0.654842,9.649323,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
7,0.700000,10.605777,0.654842,9.450934,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
8,0.800000,10.407689,0.654842,9.252847,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
9,0.900000,10.209922,0.654842,9.055079,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
10,1.000000,10.012492,0.654842,8.857650,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
11,1.100000,9.815421,0.654842,8.660579,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
12,1.200000,9.618731,0.654842,8.463889,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
13,1.300000,9.422446,0.654842,8.267604,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
14,1.400000,9.226592,0.654842,8.071750,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
15,1.500000,9.031196,0.654842,7.876354,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
16,1.600000,8.836288,0.654842,7.681447,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
17,1.700000,8.641903,0.654842,7.487061,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
