frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,12.000000,0.654842,10.845158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
1,0.100000,11.803784,0.654842,10.648942,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
2,0.200000,11.608340,0.654842,10.453498,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
3,0.300000,11.413708,0.654842,10.258865,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
4,0.400000,11.219930,0.654842,10.065087,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
5,0.500000,11.027051,0.654842,9.872209,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
6,0.600000,10.835118,0.654842,9.680276,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
7,0.700000,10.644185,0.654842,9.489343,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
8,0.800000,10.454304,0.654842,9.299461,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
9,0.900000,10.265535,0.654842,9.110693,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
10,1.000000,10.077940,0.654842,8.923098,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
11,1.100000,9.891585,0.654842,8.736743,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
12,1.200000,9.706543,0.654842,8.551701,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
13,1.300000,9.522889,0.654842,8.368047,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
14,1.400000,9.340705,0.654842,8.185863,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
15,1.500000,9.160081,0.654842,8.005239,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
16,1.600000,8.981108,0.654842,7.826266,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
17,1.700000,8.803888,0.654842,7.649046,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
18,1.800000,8.628530,0.654842,7.473688,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
19,1.900000,8.455148,0.654842,7.300306,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
20,2.000000,8.283867,0.654842,7.129025,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
21,2.100000,8.114820,0.654842,6.959979,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
22,2.200000,7.948151,0.654842,6.793309,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
23,2.300000,7.784011,0.654842,6.629169,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
24,2.400000,7.622563,0.654842,6.467721,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
