frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,12.000000,0.654842,10.845158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
1,0.100000,11.800000,0.654842,10.645158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
2,0.200000,11.600000,0.654842,10.445158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
3,0.300000,11.400000,0.654842,10.245157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
4,0.400000,11.200000,0.654842,10.045157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
5,0.500000,11.000000,0.654842,9.845158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
6,0.600000,10.800000,0.654842,9.645158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
7,0.700000,10.600000,0.654842,9.445158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
8,0.800000,10.400000,0.654842,9.245157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
9,0.900000,10.200000,0.654842,9.045157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
10,1.000000,10.000000,0.654842,8.845158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
11,1.100000,9.799999,0.654842,8.645157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
12,1.200000,9.599999,0.654842,8.445157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
13,1.300000,9.400000,0.654842,8.245157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
14,1.400000,9.200000,0.654842,8.045157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
15,1.500000,9.000000,0.654842,7.845158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
16,1.600000,8.799999,0.654842,7.645157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
17,1.700000,8.599999,0.654842,7.445158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
18,1.800000,8.400000,0.654842,7.245158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
19,1.900000,8.199999,0.654842,7.045157,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
20,2.000000,8.000000,0.654842,6.845158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
21,2.100000,7.800000,0.654842,6.645158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
22,2.200000,7.600000,0.654842,6.445158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
23,2.300000,7.400000,0.654842,6.245158,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
