frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,8.009994,0.654842,6.855152,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
1,0.100000,7.750329,0.654842,6.595488,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
2,0.200000,7.490687,0.654842,6.335845,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
3,0.300000,7.231072,0.654842,6.076230,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
4,0.400000,6.971485,0.654842,5.816643,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
5,0.500000,6.711929,0.654842,5.557087,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
6,0.600000,6.452410,0.654842,5.297568,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
7,0.700000,6.192931,0.654842,5.038089,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
8,0.800000,5.933498,0.654842,4.778656,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
9,0.900000,5.674117,0.654842,4.519275,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
10,1.000000,5.414794,0.654842,4.259952,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
11,1.100000,5.155540,0.654842,4.000699,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
12,1.200000,4.896366,0.654842,3.741524,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
13,1.300000,4.637283,0.654842,3.482441,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
14,1.400000,4.378310,0.654842,3.223468,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
15,1.500000,4.119465,0.654842,2.964623,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
16,1.600000,3.860777,0.654842,2.705935,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
17,1.700000,3.602277,0.639657,2.462619,0.800000,2.000000,1.966457,0.983229,CBF: smooth clamp
18,1.800000,3.347339,0.604184,2.243156,0.800000,1.966457,1.886830,0.959507,CBF: smooth clamp
19,1.900000,3.100581,0.555930,2.044651,0.800000,1.886830,1.775475,0.940983,CBF: smooth clamp
20,2.000000,2.865182,0.500432,1.864750,0.800000,1.775475,1.642631,0.925179,CBF: smooth clamp
21,2.100000,2.643300,0.441824,1.701476,0.800000,1.642631,1.496099,0.910794,CBF: smooth clamp
22,2.200000,2.436311,0.383174,1.553137,0.800000,1.496099,1.342090,0.897060,CBF: smooth clamp
23,2.300000,2.244963,0.326702,1.418261,0.800000,1.342090,1.185679,0.883457,CBF: smooth clamp
24,2.400000,2.069497,0.273937,1.295560,0.800000,1.185679,1.031047,0.869583,CBF: smooth clamp
25,2.500000,1.909729,0.225835,1.183894,0.800000,1.031047,0.881593,0.855047,CBF: smooth clamp
26,2.600000,1.765129,0.182883,1.082246,0.800000,0.881593,0.739982,0.839369,CBF: smooth clamp
27,2.700000,1.634899,0.145193,0.989706,0.800000,0.739982,0.608151,0.821845,CBF: smooth clamp
28,2.800000,1.518044,0.112593,0.905450,0.800000,0.608151,0.487318,0.801311,CBF: smooth clamp
29,2.900000,1.413445,0.084708,0.828737,0.800000,0.487318,0.378019,0.775713,CBF: smooth clamp
30,3.000000,1.319931,0.061038,0.758893,0.800000,0.378019,0.280184,0.741189,CBF: smooth clamp
31,3.100000,1.236339,0.041031,0.695308,0.800000,0.280184,0.193259,0.689758,CBF: smooth clamp
32,3.200000,1.161564,0.024135,0.637428,0.800000,0.193259,0.116364,0.602112,CBF: smooth clamp
33,3.300000,1.094587,0.009838,0.584749,0.800000,0.116364,0.048443,0.416307,CBF: hard clamp
34,3.400000,1.034499,0.000000,0.534499,0.800000,0.048443,0.000000,0.000000,CBF: v_safe ~ 0
