frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,141.421356,0.654842,140.266510,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
1,0.100000,141.280014,0.654842,140.125168,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
2,0.200000,141.138794,0.654842,139.983948,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
3,0.300000,140.997726,0.654842,139.842880,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
4,0.400000,140.856812,0.654842,139.701965,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
5,0.500000,140.716019,0.654842,139.561172,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
6,0.600000,140.575394,0.654842,139.420547,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
7,0.700000,140.434891,0.654842,139.280045,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
8,0.800000,140.294556,0.654842,139.139709,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
9,0.900000,140.154343,0.654842,138.999496,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
10,1.000000,140.014282,0.654842,138.859436,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
11,1.100000,139.874374,0.654842,138.719528,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
12,1.200000,139.734604,0.654842,138.579758,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
13,1.300000,139.594986,0.654842,138.440140,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
14,1.400000,139.455505,0.654842,138.300659,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
15,1.500000,139.316193,0.654842,138.161346,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
16,1.600000,139.177017,0.654842,138.022171,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
17,1.700000,139.037979,0.654842,137.883133,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
18,1.800000,138.899094,0.654842,137.744247,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
19,1.900000,138.760361,0.654842,137.605515,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
20,2.000000,138.621780,0.654842,137.466934,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
21,2.100000,138.483353,0.654842,137.328506,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
22,2.200000,138.345078,0.654842,137.190231,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
23,2.300000,138.206955,0.654842,137.052109,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
24,2.400000,138.068970,0.654842,136.914124,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
25,2.500000,137.931137,0.654842,136.776291,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
26,2.600000,137.793472,0.654842,136.638626,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
27,2.700000,137.655945,0.654842,136.501099,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
28,2.800000,137.518585,0.654842,136.363739,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
29,2.900000,137.381363,0.654842,136.226517,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
30,3.000000,4.000001,0.654842,2.845160,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
31,3.100000,3.750001,0.654842,2.595160,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
32,3.200000,3.500001,0.639432,2.360570,0.800000,2.000000,1.965957,0.982979,CBF: smooth clamp
33,3.300000,3.253407,0.604622,2.148784,0.800000,1.965957,1.887827,0.960258,CBF: smooth clamp
34,3.400000,3.014624,0.557589,1.957034,0.800000,1.887827,1.779365,0.942547,CBF: smooth clamp
35,3.500000,2.786687,0.503622,1.783065,0.800000,1.779365,1.650415,0.927530,CBF: smooth clamp
36,3.600000,2.571645,0.446667,1.624979,0.800000,1.650415,1.508471,0.913995,CBF: smooth clamp
37,3.700000,2.370798,0.389647,1.481151,0.800000,1.508471,1.359485,0.901234,CBF: smooth clamp
38,3.800000,2.184850,0.334675,1.350175,0.800000,1.359485,1.208295,0.888789,CBF: smooth clamp
39,3.900000,2.014020,0.283203,1.230818,0.800000,1.208295,1.058858,0.876324,CBF: smooth clamp
40,4.000000,1.858134,0.236140,1.121994,0.800000,1.058858,0.914368,0.863542,CBF: smooth clamp
41,4.100000,1.716697,0.193956,1.022741,0.800000,0.914368,0.777307,0.850103,CBF: smooth clamp
42,4.200000,1.588966,0.156767,0.932199,0.800000,0.777307,0.649468,0.835536,CBF: smooth clamp
43,4.300000,1.474020,0.124425,0.849595,0.800000,0.649468,0.531976,0.819095,CBF: smooth clamp
44,4.400000,1.370822,0.096592,0.774230,0.800000,0.531976,0.425331,0.799531,CBF: smooth clamp
45,4.500000,1.278289,0.072814,0.705476,0.800000,0.425331,0.329487,0.774658,CBF: smooth clamp
46,4.600000,1.195340,0.052584,0.642756,0.800000,0.329487,0.243960,0.740425,CBF: smooth clamp
47,4.700000,1.120944,0.035392,0.585552,0.800000,0.243960,0.167971,0.688518,CBF: smooth clamp
