frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,12.000000,0.654842,5.672579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
1,0.100000,11.800106,0.654842,5.572632,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
2,0.200000,11.600431,0.654842,5.472795,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
3,0.300000,11.400987,0.654842,5.373072,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
4,0.400000,11.201785,0.654842,5.273471,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
5,0.500000,11.002841,0.654842,5.173999,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
6,0.600000,10.804166,0.654842,5.074662,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
7,0.700000,10.605777,0.647420,5.020232,0.800000,2.000000,1.983645,0.991822,TTC < 5s
8,0.800000,10.409324,0.624001,5.066078,0.800000,1.983645,1.931538,0.973732,TTC < 5s
9,0.900000,10.218395,0.614617,5.027000,0.800000,1.931538,1.910439,0.989077,TTC < 5s
10,1.000000,10.029908,0.594514,5.059724,0.800000,1.910439,1.864804,0.976113,TTC < 5s
11,1.100000,9.846331,0.584018,5.031852,0.800000,1.864804,1.840736,0.987094,TTC < 5s
12,1.200000,9.665524,0.566427,5.055023,0.800000,1.840736,1.800011,0.977876,TTC < 5s
13,1.300000,9.489171,0.555404,5.035261,0.800000,1.800011,1.774241,0.985683,TTC < 5s
14,1.400000,9.315795,0.539753,5.051533,0.800000,1.774241,1.737303,0.979181,TTC < 5s
15,1.500000,9.146529,0.528598,5.037594,0.800000,1.737303,1.710724,0.984701,TTC < 5s
16,1.600000,8.980360,0.514480,5.048917,0.800000,1.710724,1.676771,0.980153,TTC < 5s
17,1.700000,8.818041,0.503454,5.039125,0.800000,1.676771,1.650006,0.984037,TTC < 5s
18,1.800000,8.658877,0.490580,5.046924,0.800000,1.650006,1.618470,0.980888,TTC < 5s
19,1.900000,8.503365,0.479851,5.040061,0.800000,1.618470,1.591948,0.983613,TTC < 5s
20,2.000000,8.351025,0.468014,5.045366,0.800000,1.591948,1.562426,0.981456,TTC < 5s
21,2.100000,8.202179,0.457685,5.040552,0.800000,1.562426,1.536438,0.983367,TTC < 5s
22,2.200000,8.056498,0.446735,5.044102,0.800000,1.536438,1.508646,0.981911,TTC < 5s
23,2.300000,7.914183,0.436868,5.040709,0.800000,1.508646,1.483386,0.983257,TTC < 5s
24,2.400000,7.775009,0.426695,5.043029,0.800000,1.483386,1.457123,0.982296,TTC < 5s
25,2.500000,7.639098,0.417321,5.040610,0.800000,1.457123,1.432719,0.983252,TTC < 5s
26,2.600000,7.506291,0.407845,5.042068,0.800000,1.432719,1.407844,0.982638,TTC < 5s
27,2.700000,7.376661,0.398976,5.040310,0.800000,1.407844,1.384376,0.983331,TTC < 5s
28,2.800000,7.250094,0.390133,5.041165,0.800000,1.384376,1.360789,0.982962,TTC < 5s
29,2.900000,7.126630,0.381771,5.039846,0.800000,1.360789,1.338307,0.983479,TTC < 5s
30,3.000000,7.006186,0.373513,5.040277,0.800000,1.338307,1.315934,0.983283,TTC < 5s
31,3.100000,6.888780,0.365649,5.039244,0.800000,1.315934,1.294466,0.983686,TTC < 5s
32,3.200000,6.774350,0.357938,5.039372,0.800000,1.294466,1.273256,0.983615,TTC < 5s
33,3.300000,6.662900,0.350560,5.038518,0.800000,1.273256,1.252817,0.983947,TTC < 5s
34,3.400000,6.554384,0.343362,5.038428,0.800000,1.252817,1.232730,0.983967,TTC < 5s
35,3.500000,6.448798,0.336457,5.037677,0.800000,1.232730,1.213325,0.984259,TTC < 5s
36,3.600000,6.346104,0.329745,5.037425,0.800000,1.213325,1.194332,0.984346,TTC < 5s
37,3.700000,6.246294,0.323297,5.036727,0.800000,1.194332,1.175962,0.984618,TTC < 5s
38,3.800000,6.149337,0.317047,5.036349,0.800000,1.175962,1.158039,0.984759,TTC < 5s
39,3.900000,6.055222,0.311039,5.035670,0.800000,1.158039,1.140699,0.985026,TTC < 5s
40,4.000000,5.963923,0.305232,5.035190,0.800000,1.140699,1.123829,0.985211,TTC < 5s
41,4.100000,5.875427,0.299649,5.034506,0.800000,1.123829,1.107513,0.985482,TTC < 5s
42,4.200000,5.789713,0.294264,5.033939,0.800000,1.107513,1.091680,0.985704,TTC < 5s
43,4.300000,5.706766,0.289091,5.033232,0.800000,1.091680,1.076381,0.985986,TTC < 5s
44,4.400000,5.626567,0.284112,5.032592,0.800000,1.076381,1.061571,0.986241,TTC < 5s
45,4.500000,5.549101,0.279334,5.031849,0.800000,1.061571,1.047282,0.986540,TTC < 5s
46,4.600000,5.474352,0.274745,5.031142,0.800000,1.047282,1.033484,0.986825,TTC < 5s
47,4.700000,5.402305,0.270349,5.030357,0.800000,1.033484,1.020197,0.987143,TTC < 5s
48,4.800000,5.332942,0.266137,5.029589,0.800000,1.020197,1.007400,0.987456,TTC < 5s
49,4.900000,5.266251,0.262109,5.028758,0.800000,1.007400,0.995105,0.987796,TTC < 5s
50,5.000000,5.202214,0.258260,5.027930,0.800000,0.995105,0.983298,0.988135,TTC < 5s
51,5.100000,5.140819,0.254589,5.027050,0.800000,0.983298,0.971987,0.988497,TTC < 5s
52,5.200000,5.082047,0.251090,5.026167,0.800000,0.971987,0.961161,0.988862,TTC < 5s
53,5.300000,5.025887,0.247764,5.025241,0.800000,0.961161,0.950825,0.989246,TTC < 5s
54,5.400000,4.972322,0.244605,5.024304,0.800000,0.950825,0.940970,0.989635,TTC < 5s
55,5.500000,4.921337,0.241612,5.023332,0.800000,0.940970,0.931598,0.990040,TTC < 5s
56,5.600000,4.872916,0.238782,5.022348,0.800000,0.931598,0.922703,0.990452,TTC < 5s
57,5.700000,4.827044,0.236114,5.021332,0.800000,0.922703,0.914285,0.990878,TTC < 5s
58,5.800000,4.783703,0.233603,5.020304,0.800000,0.914285,0.906340,0.991309,TTC < 5s
59,5.900000,4.742879,0.231249,5.019249,0.800000,0.906340,0.898866,0.991754,TTC < 5s
60,6.000000,4.704556,0.229048,5.018182,0.800000,0.898866,0.891858,0.992204,TTC < 5s
61,6.100000,4.668714,0.226999,5.017093,0.800000,0.891858,0.885316,0.992665,TTC < 5s
62,6.200000,4.635338,0.225099,5.015994,0.800000,0.885316,0.879235,0.993131,TTC < 5s
63,6.300000,4.604409,0.223346,5.014877,0.800000,0.879235,0.873613,0.993605,TTC < 5s
64,6.400000,4.575909,0.221739,5.013751,0.800000,0.873613,0.868446,0.994085,TTC < 5s
65,6.500000,4.549820,0.220276,5.012613,0.800000,0.868446,0.863730,0.994570,TTC < 5s
66,6.600000,4.526122,0.218954,5.011470,0.800000,0.863730,0.859462,0.995059,TTC < 5s
67,6.700000,4.504797,0.217772,5.010315,0.800000,0.859462,0.855640,0.995553,TTC < 5s
68,6.800000,4.485825,0.216727,5.009162,0.800000,0.855640,0.852258,0.996047,TTC < 5s
69,6.900000,4.469184,0.215819,5.008001,0.800000,0.852258,0.849314,0.996546,TTC < 5s
70,7.000000,4.454857,0.215046,5.006844,0.800000,0.849314,0.846803,0.997044,TTC < 5s
71,7.100000,4.442821,0.214406,5.005684,0.800000,0.846803,0.844723,0.997543,TTC < 5s
72,7.200000,4.433055,0.213897,5.004529,0.800000,0.844723,0.843068,0.998041,TTC < 5s
73,7.300000,4.425539,0.213518,5.003378,0.800000,0.843068,0.841836,0.998538,TTC < 5s
74,7.400000,4.420253,0.213268,5.002234,0.800000,0.841836,0.841021,0.999033,TTC < 5s
75,7.500000,4.417174,0.213145,5.001098,0.800000,0.841021,0.840621,0.999524,TTC < 5s
76,7.600000,4.416281,0.213145,5.000036,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
77,7.700000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
78,7.800000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
79,7.900000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
80,8.000000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
81,8.100000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
82,8.200000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
83,8.300000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
84,8.400001,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
85,8.500000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
86,8.600000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
87,8.700000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
88,8.800000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
89,8.900001,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
90,9.000000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
91,9.100000,100.000000,0.213145,inf,0.800000,0.840621,0.840621,1.000000,TTC >= 5s
