frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,12.000000,0.654842,5.212355,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
1,0.100000,11.803784,0.654842,5.122207,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
2,0.200000,11.608340,0.654842,5.032413,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
3,0.300000,11.413708,0.637648,5.038876,0.800000,2.000000,1.961995,0.980997,TTC < 5s
4,0.400000,11.223224,0.622944,5.033951,0.800000,1.961995,1.929168,0.983268,TTC < 5s
5,0.500000,11.036435,0.607326,5.036882,0.800000,1.929168,1.893959,0.981749,TTC < 5s
6,0.600000,10.853547,0.593060,5.034416,0.800000,1.893959,1.861480,0.982851,TTC < 5s
7,0.700000,10.674320,0.578610,5.035624,0.800000,1.861480,1.828268,0.982159,TTC < 5s
8,0.800000,10.498816,0.564976,5.034332,0.800000,1.828268,1.796630,0.982695,TTC < 5s
9,0.900000,10.326900,0.551478,5.034717,0.800000,1.796630,1.765013,0.982403,TTC < 5s
10,1.000000,10.158565,0.538543,5.033973,0.800000,1.765013,1.734430,0.982673,TTC < 5s
11,1.100000,9.993723,0.525875,5.033971,0.800000,1.734430,1.704202,0.982571,TTC < 5s
12,1.200000,9.832342,0.513647,5.033470,0.800000,1.704202,1.674757,0.982722,TTC < 5s
13,1.300000,9.674355,0.501731,5.033289,0.800000,1.674757,1.645802,0.982711,TTC < 5s
14,1.400000,9.519718,0.490192,5.032891,0.800000,1.645802,1.617514,0.982812,TTC < 5s
15,1.500000,9.368377,0.478972,5.032625,0.800000,1.617514,1.589766,0.982845,TTC < 5s
16,1.600000,9.220281,0.468093,5.032266,0.800000,1.589766,1.562624,0.982927,TTC < 5s
17,1.700000,9.075381,0.457526,5.031957,0.800000,1.562624,1.536035,0.982984,TTC < 5s
18,1.800000,8.933631,0.447274,5.031609,0.800000,1.536035,1.510020,0.983063,TTC < 5s
19,1.900000,8.794982,0.437322,5.031275,0.800000,1.510020,1.484552,0.983134,TTC < 5s
20,2.000000,8.659389,0.427665,5.030923,0.800000,1.484552,1.459636,0.983216,TTC < 5s
21,2.100000,8.526805,0.418292,5.030575,0.800000,1.459636,1.435257,0.983298,TTC < 5s
