frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,12.000000,0.654842,5.672579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
1,0.100000,11.800000,0.654842,5.572579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
2,0.200000,11.600000,0.654842,5.472579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
3,0.300000,11.400000,0.654842,5.372579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
4,0.400000,11.200000,0.654842,5.272579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
5,0.500000,11.000000,0.654842,5.172579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
6,0.600000,10.800000,0.654842,5.072579,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
7,0.700000,10.600000,0.646549,5.022635,0.800000,2.000000,1.981719,0.990860,TTC < 5s
8,0.800000,10.401828,0.623589,5.064835,0.800000,1.981719,1.930614,0.974211,TTC < 5s
9,0.900000,10.208767,0.613529,5.028994,0.800000,1.930614,1.907984,0.988278,TTC < 5s
10,1.000000,10.017968,0.593648,5.059157,0.800000,1.907984,1.862824,0.976331,TTC < 5s
11,1.100000,9.831686,0.582596,5.033619,0.800000,1.862824,1.837463,0.986386,TTC < 5s
12,1.200000,9.647940,0.565051,5.055020,0.800000,1.837463,1.796806,0.977873,TTC < 5s
13,1.300000,9.468259,0.553541,5.036946,0.800000,1.796806,1.769866,0.985007,TTC < 5s
14,1.400000,9.291272,0.537801,5.052023,0.800000,1.769866,1.732666,0.978982,TTC < 5s
15,1.500000,9.118006,0.526190,5.039314,0.800000,1.732666,1.704957,0.984008,TTC < 5s
16,1.600000,8.947510,0.511876,5.049862,0.800000,1.704957,1.670468,0.979771,TTC < 5s
17,1.700000,8.780463,0.500399,5.040980,0.800000,1.670468,1.642550,0.983287,TTC < 5s
18,1.800000,8.616208,0.487240,5.048309,0.800000,1.642550,1.610236,0.980327,TTC < 5s
19,1.900000,8.455185,0.476047,5.042138,0.800000,1.610236,1.582491,0.982770,TTC < 5s
20,2.000000,8.296935,0.463847,5.047195,0.800000,1.582491,1.551969,0.980712,TTC < 5s
21,2.100000,8.141739,0.453029,5.042929,0.800000,1.551969,1.524652,0.982399,TTC < 5s
22,2.200000,7.989273,0.441647,5.046396,0.800000,1.524652,1.495647,0.980976,TTC < 5s
23,2.300000,7.839708,0.431255,5.043461,0.800000,1.495647,1.468922,0.982132,TTC < 5s
24,2.400000,7.692816,0.420585,5.045819,0.800000,1.468922,1.441239,0.981154,TTC < 5s
25,2.500000,7.548692,0.410643,5.043810,0.800000,1.441239,1.415210,0.981940,TTC < 5s
26,2.600000,7.407171,0.400606,5.045402,0.800000,1.415210,1.388703,0.981270,TTC < 5s
27,2.700000,7.268301,0.391120,5.044032,0.800000,1.388703,1.363429,0.981801,TTC < 5s
28,2.800000,7.131958,0.381655,5.045095,0.800000,1.363429,1.337993,0.981344,TTC < 5s
29,2.900000,6.998158,0.372621,5.044163,0.800000,1.337993,1.313506,0.981699,TTC < 5s
30,3.000000,6.866808,0.363678,5.044867,0.800000,1.313506,1.289059,0.981388,TTC < 5s
31,3.100000,6.737902,0.355084,5.044234,0.800000,1.289059,1.265369,0.981623,TTC < 5s
32,3.200000,6.611365,0.346623,5.044695,0.800000,1.265369,1.241848,0.981411,TTC < 5s
33,3.300000,6.487181,0.338455,5.044263,0.800000,1.241848,1.218954,0.981565,TTC < 5s
34,3.400000,6.365285,0.330441,5.044560,0.800000,1.218954,1.196307,0.981421,TTC < 5s
35,3.500000,6.245655,0.322680,5.044265,0.800000,1.196307,1.174200,0.981520,TTC < 5s
36,3.600000,6.128234,0.315084,5.044453,0.800000,1.174200,1.152385,0.981421,TTC < 5s
37,3.700000,6.012996,0.307712,5.044247,0.800000,1.152385,1.131047,0.981484,TTC < 5s
38,3.800000,5.899891,0.300507,5.044363,0.800000,1.131047,1.110028,0.981416,TTC < 5s
39,3.900000,5.788888,0.293505,5.044219,0.800000,1.110028,1.089442,0.981455,TTC < 5s
40,4.000000,5.679944,0.286668,5.044286,0.800000,1.089442,1.069185,0.981406,TTC < 5s
41,4.100000,5.573026,0.280017,5.044184,0.800000,1.069185,1.049329,0.981429,TTC < 5s
42,4.200000,5.468093,0.273526,5.044219,0.800000,1.049329,1.029806,0.981395,TTC < 5s
43,4.300000,5.365112,0.267207,5.044144,0.800000,1.029806,1.010658,0.981406,TTC < 5s
44,4.400000,5.264047,0.261043,5.044158,0.800000,1.010658,0.991841,0.981381,TTC < 5s
45,4.500000,5.164863,0.255039,5.044102,0.800000,0.991841,0.973379,0.981386,TTC < 5s
46,4.600000,5.067525,0.249184,5.044103,0.800000,0.973379,0.955243,0.981367,TTC < 5s
47,4.700000,4.972001,0.243478,5.044059,0.800000,0.955243,0.937444,0.981368,TTC < 5s
48,4.800000,4.878256,0.237913,5.044052,0.800000,0.937444,0.919963,0.981353,TTC < 5s
49,4.900000,4.786260,0.232489,5.044015,0.800000,0.919963,0.902807,0.981351,TTC < 5s
50,5.000000,4.695980,0.227200,5.044003,0.800000,0.902807,0.885959,0.981339,TTC < 5s
51,5.100000,4.607384,0.222043,5.043972,0.800000,0.885959,0.869422,0.981335,TTC < 5s
52,5.200000,4.520442,0.217013,5.043959,0.800000,0.869422,0.853185,0.981324,TTC < 5s
53,5.300000,4.435123,0.212109,5.043930,0.800000,0.853185,0.837247,0.981319,TTC < 5s
54,5.400000,4.351398,0.207326,5.043913,0.800000,0.837247,0.821599,0.981310,TTC < 5s
55,5.500000,4.269238,0.202661,5.043890,0.800000,0.821599,0.806238,0.981304,TTC < 5s
56,5.600000,4.188615,0.198110,5.043871,0.800000,0.806238,0.791159,0.981297,TTC < 5s
57,5.700000,4.109499,0.193672,5.043850,0.800000,0.791159,0.776357,0.981290,TTC < 5s
58,5.800000,4.031863,0.189341,5.043831,0.800000,0.776357,0.761826,0.981283,TTC < 5s
59,5.900000,3.955681,0.185117,5.043812,0.800000,0.761826,0.747562,0.981277,TTC < 5s
60,6.000000,3.880924,0.180996,5.043793,0.800000,0.747562,0.733561,0.981270,TTC < 5s
61,6.100000,3.807569,0.176974,5.043773,0.800000,0.733561,0.719817,0.981264,TTC < 5s
62,6.200000,3.735587,0.173050,5.043756,0.800000,0.719817,0.706326,0.981258,TTC < 5s
63,6.300000,3.664954,0.169221,5.043738,0.800000,0.706326,0.693084,0.981252,TTC < 5s
64,6.400000,3.595646,0.165484,5.043719,0.800000,0.693084,0.680086,0.981246,TTC < 5s
65,6.500000,3.527637,0.161837,5.043703,0.800000,0.680086,0.667327,0.981240,TTC < 5s
66,6.600000,3.460905,0.158278,5.043684,0.800000,0.667327,0.654804,0.981235,TTC < 5s
67,6.700000,3.395425,0.154804,5.043669,0.800000,0.654804,0.642513,0.981228,TTC < 5s
68,6.800000,3.331174,0.151412,5.043651,0.800000,0.642513,0.630448,0.981223,TTC < 5s
69,6.900000,3.268129,0.148102,5.043636,0.800000,0.630448,0.618607,0.981217,TTC < 5s
70,7.000000,3.206268,0.144870,5.043621,0.800000,0.618607,0.606984,0.981212,TTC < 5s
71,7.100000,3.145570,0.141714,5.043605,0.800000,0.606984,0.595577,0.981207,TTC < 5s
72,7.200000,3.086012,0.138633,5.043590,0.800000,0.595577,0.584381,0.981201,TTC < 5s
73,7.300000,3.027574,0.135625,5.043574,0.800000,0.584381,0.573393,0.981196,TTC < 5s
74,7.400000,2.970234,0.132688,5.043559,0.800000,0.573393,0.562608,0.981191,TTC < 5s
