frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,8.009994,0.129976,6.836715,0.800000,2.000000,0.552603,0.276302,TTC < 5s
1,0.100000,7.894879,0.129976,6.736840,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
2,0.200000,7.779769,0.129976,6.636971,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
3,0.300000,7.664664,0.129976,6.537105,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
4,0.400000,7.549563,0.129976,6.437243,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
5,0.500000,7.434467,0.129976,6.337386,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
6,0.600000,7.319376,0.129976,6.237533,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
7,0.700000,7.204291,0.129976,6.137685,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
8,0.800000,7.089211,0.129976,6.037842,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
9,0.900000,6.974138,0.129976,5.938004,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
10,1.000000,6.859070,0.129976,5.838171,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
11,1.100000,6.744009,0.129976,5.738344,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
12,1.200000,6.628956,0.129976,5.638524,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
13,1.300000,6.513909,0.129976,5.538709,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
14,1.400000,6.398870,0.129976,5.438901,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
15,1.500000,6.283839,0.129976,5.339100,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
16,1.600000,6.168817,0.129976,5.239306,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
17,1.700000,6.053804,0.129976,5.139522,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
18,1.800000,5.938800,0.129976,5.039744,0.800000,0.552603,0.552603,1.000000,TTC >= 5s
19,1.900000,5.823807,0.126994,4.990435,0.800000,0.552603,0.541547,0.979992,TTC < 5s
20,2.000000,5.709928,0.121710,4.981422,0.800000,0.541547,0.521812,0.963559,TTC < 5s
21,2.100000,5.598027,0.116252,4.977865,0.800000,0.521812,0.501230,0.960557,TTC < 5s
22,2.200000,5.488191,0.110906,4.974971,0.800000,0.501230,0.480868,0.959375,TTC < 5s
23,2.300000,5.380398,0.105706,4.972042,0.800000,0.480868,0.460870,0.958414,TTC < 5s
24,2.400000,5.274610,0.100656,4.968953,0.800000,0.460870,0.441256,0.957441,TTC < 5s
25,2.500000,5.170791,0.095752,4.965672,0.800000,0.441256,0.422025,0.956416,TTC < 5s
26,2.600000,5.068901,0.090990,4.962176,0.800000,0.422025,0.403171,0.955326,TTC < 5s
27,2.700000,4.968903,0.086367,4.958443,0.800000,0.403171,0.384691,0.954165,TTC < 5s
28,2.800000,4.870759,0.081878,4.954450,0.800000,0.384691,0.366582,0.952925,TTC < 5s
29,2.900000,4.774435,0.077521,4.950172,0.800000,0.366582,0.348839,0.951598,TTC < 5s
30,3.000000,4.679891,0.073291,4.945577,0.800000,0.348839,0.331458,0.950177,TTC < 5s
31,3.100000,4.587093,0.069187,4.940636,0.800000,0.331458,0.314438,0.948650,TTC < 5s
32,3.200000,4.496004,0.065204,4.935310,0.800000,0.314438,0.297775,0.947008,TTC < 5s
33,3.300000,4.406590,0.061341,4.929555,0.800000,0.297775,0.281469,0.945238,TTC < 5s
34,3.400000,4.318814,0.057595,4.923325,0.800000,0.281469,0.265517,0.943325,TTC < 5s
35,3.500000,4.232643,0.053963,4.916564,0.800000,0.265517,0.249919,0.941255,TTC < 5s
36,3.600000,4.148039,0.050444,4.909208,0.800000,0.249919,0.234675,0.939007,TTC < 5s
37,3.700000,4.064969,0.047035,4.901186,0.800000,0.234675,0.219788,0.936561,TTC < 5s
38,3.800000,3.983395,0.043736,4.892416,0.800000,0.219788,0.205259,0.933894,TTC < 5s
39,3.900000,3.903285,0.040545,4.882801,0.800000,0.205259,0.191091,0.930977,TTC < 5s
40,4.000000,3.824601,0.037461,4.872234,0.800000,0.191091,0.177290,0.927779,TTC < 5s
41,4.100000,3.747307,0.034483,4.860587,0.800000,0.177290,0.163863,0.924265,TTC < 5s
42,4.200000,3.671366,0.031613,4.847717,0.800000,0.163863,0.150818,0.920390,TTC < 5s
43,4.300000,3.596741,0.028849,4.833457,0.800000,0.150818,0.138166,0.916108,TTC < 5s
44,4.400000,3.523392,0.026194,4.817613,0.800000,0.138166,0.125919,0.911363,TTC < 5s
45,4.500000,3.451279,0.023648,4.799971,0.800000,0.125919,0.114094,0.906091,TTC < 5s
46,4.600000,3.380361,0.021214,4.780276,0.800000,0.114094,0.102710,0.900219,TTC < 5s
47,4.700000,3.310594,0.018894,4.758248,0.800000,0.102710,0.091788,0.893664,TTC < 5s
48,4.800000,3.241933,0.016693,4.733570,0.800000,0.091788,0.081355,0.886332,TTC < 5s
49,4.900000,3.174329,0.014613,4.705887,0.800000,0.081355,0.071439,0.878117,TTC < 5s
50,5.000000,3.107732,0.012660,4.674817,0.800000,0.071439,0.062073,0.868901,TTC < 5s
51,5.100000,3.042088,0.010840,4.639948,0.800000,0.062073,0.053293,0.858556,TTC < 5s
52,5.200000,2.977338,0.009157,4.600856,0.800000,0.053293,0.045137,0.846945,TTC < 5s
53,5.300000,2.913422,0.007618,4.557117,0.800000,0.045137,0.037641,0.833927,TTC < 5s
54,5.400000,2.850275,0.006229,4.508338,0.800000,0.037641,0.030841,0.819362,TTC < 5s
55,5.500000,2.787829,0.004993,4.454182,0.800000,0.030841,0.024769,0.803117,TTC < 5s
56,5.600000,2.726013,0.003913,4.394413,0.800000,0.024769,0.019446,0.785080,TTC < 5s
57,5.700000,2.664755,0.002990,4.328922,0.800000,0.019446,0.014879,0.765173,TTC < 5s
58,5.800000,2.603980,0.002220,4.257776,0.800000,0.014879,0.011061,0.743361,TTC < 5s
59,5.900000,2.543617,0.001596,4.181230,0.800000,0.011061,0.007960,0.719664,TTC < 5s
60,6.000000,2.483595,0.001107,4.099725,0.800000,0.007960,0.005526,0.694168,TTC < 5s
61,6.100000,2.423853,0.000738,4.013869,0.800000,0.005526,0.003686,0.667021,TTC < 5s
62,6.200000,2.364333,0.000471,3.924381,0.800000,0.003686,0.002353,0.638425,TTC < 5s
63,6.300000,2.304988,0.000287,3.832023,0.800000,0.002353,0.001432,0.608620,TTC < 5s
64,6.400000,2.245782,0.000166,3.737539,0.800000,0.001432,0.000828,0.577860,TTC < 5s
