frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
0,0.000000,141.421356,0.654842,70.383255,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
1,0.100000,141.280014,0.654842,70.312584,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
2,0.200000,141.138794,0.654842,70.241974,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
3,0.300000,140.997726,0.654842,70.171440,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
4,0.400000,140.856812,0.654842,70.100983,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
5,0.500000,140.716019,0.654842,70.030586,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
6,0.600000,140.575394,0.654842,69.960274,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
7,0.700000,140.434891,0.654842,69.890022,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
8,0.800000,140.294556,0.654842,69.819855,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
9,0.900000,140.154343,0.654842,69.749748,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
10,1.000000,140.014282,0.654842,69.679718,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
11,1.100000,139.874374,0.654842,69.609764,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
12,1.200000,139.734604,0.654842,69.539879,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
13,1.300000,139.594986,0.654842,69.470070,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
14,1.400000,139.455505,0.654842,69.400330,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
15,1.500000,139.316193,0.654842,69.330673,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
16,1.600000,139.177017,0.654842,69.261086,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
17,1.700000,139.037979,0.654842,69.191566,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
18,1.800000,138.899094,0.654842,69.122124,0.800000,2.000000,2.000000,1.000000,TTC >= 5s
