ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,10,-4.750000,-9.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,12,-4.750000,-8.750000,10.023002,3,0.365953,0.099885,0.020046,0,0
0,13,-4.750000,-8.250000,9.713401,5,0.041843,0.169055,0.019435,0,0
0,14,-4.750000,-7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,17,-4.750000,-6.250000,7.810750,4,0.797902,0.147928,0.016101,0,0
0,18,-4.750000,-5.750000,7.394400,5,0.078758,0.188380,0.015468,0,0
0,19,-4.750000,-5.250000,7.268394,28,0.320902,0.757720,0.015283,0,0
0,20,-4.750000,-4.750000,6.906190,53,0.355423,0.769794,0.014770,0,0
0,21,-4.750000,-4.250000,6.615630,54,0.811554,0.779479,0.014377,0,0
0,22,-4.750000,-3.750000,6.347572,28,1.000000,0.788414,0.014029,0,0
0,23,-4.750000,-3.250000,5.962375,72,0.629324,0.801254,0.013555,0,0
0,24,-4.750000,-2.750000,5.772546,176,1.000000,0.807582,0.013332,0,0
0,25,-4.750000,-2.250000,5.566758,180,0.653601,0.814441,0.013099,0,0
0,26,-4.750000,-1.750000,5.492585,111,0.155911,0.816914,0.013017,0,0
0,27,-4.750000,-1.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,31,-4.750000,0.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,32,-4.750000,1.250000,5.290377,80,0.083247,0.823654,0.012799,0,0
0,33,-4.750000,1.750000,5.444861,194,0.594893,0.818505,0.012965,0,0
0,34,-4.750000,2.250000,5.489964,192,1.000000,0.817001,0.013014,0,0
0,35,-4.750000,2.750000,5.726642,81,0.923897,0.809112,0.013279,0,0
0,36,-4.750000,3.250000,6.041769,69,1.000000,0.798608,0.013650,0,0
0,37,-4.750000,3.750000,6.265184,49,1.000000,0.791161,0.013925,0,0
0,38,-4.750000,4.250000,6.769938,16,0.896871,0.619468,0.014583,0,0
0,39,-4.750000,4.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,40,-4.750000,5.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,42,-4.750000,6.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,43,-4.750000,6.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,12,-4.250000,-8.750000,9.710751,4,0.863726,0.135262,0.019430,0,0
1,13,-4.250000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,14,-4.250000,-7.750000,8.837001,5,1.000000,0.176358,0.017809,0,0
1,15,-4.250000,-7.250000,8.545001,3,0.060851,0.107275,0.017302,0,0
1,18,-4.250000,-5.750000,7.223250,4,0.496563,0.151845,0.015218,0,0
1,19,-4.250000,-5.250000,6.776251,4,1.000000,0.154825,0.014592,0,0
1,20,-4.250000,-4.750000,6.392423,33,0.330988,0.786919,0.014086,0,0
1,21,-4.250000,-4.250000,6.133307,39,0.717394,0.795556,0.013762,0,0
1,22,-4.250000,-3.750000,5.808778,18,0.335419,0.725737,0.013374,0,0
