ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,10,-4.750000,-9.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,12,-4.750000,-8.750000,10.023002,3,0.365953,0.256512,0.020046,0,0
0,13,-4.750000,-8.250000,9.713401,5,0.041843,0.381958,0.019435,0,0
0,14,-4.750000,-7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,17,-4.750000,-6.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,18,-4.750000,-5.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,19,-4.750000,-5.250000,7.254835,18,0.174010,0.830269,0.015263,0,0
0,20,-4.750000,-4.750000,6.908980,47,0.194565,0.983416,0.014773,0,0
0,21,-4.750000,-4.250000,6.604192,52,0.465362,0.983175,0.014362,0,0
0,22,-4.750000,-3.750000,6.352964,27,0.713282,0.909724,0.014036,0,0
0,23,-4.750000,-3.250000,5.965288,66,0.315475,0.987628,0.013558,0,0
0,24,-4.750000,-2.750000,5.769091,167,0.806085,0.988858,0.013328,0,0
0,25,-4.750000,-2.250000,5.566758,180,0.653601,0.995395,0.013099,0,0
0,26,-4.750000,-1.750000,5.379622,177,0.318025,0.997610,0.012894,0,0
0,27,-4.750000,-1.250000,5.272703,161,0.098935,0.998021,0.012780,0,0
0,28,-4.750000,-0.750000,5.282272,59,0.019199,0.994434,0.012790,0,0
0,29,-4.750000,-0.250000,5.089899,108,0.104184,0.998063,0.012591,0,0
0,30,-4.750000,0.250000,5.089992,114,0.073254,0.997821,0.012591,0,0
0,31,-4.750000,0.750000,5.249602,128,0.214719,0.997279,0.012756,0,0
0,32,-4.750000,1.250000,5.266689,164,0.204624,0.996755,0.012774,0,0
0,33,-4.750000,1.750000,5.436466,200,0.674581,0.992533,0.012956,0,0
0,34,-4.750000,2.250000,5.476094,161,0.826441,0.980196,0.012999,0,0
0,35,-4.750000,2.750000,5.695582,60,0.354964,0.987794,0.013244,0,0
0,36,-4.750000,3.250000,6.024364,44,0.699301,0.973728,0.013629,0,0
0,37,-4.750000,3.750000,6.262258,31,0.618390,0.931147,0.013922,0,0
0,38,-4.750000,4.250000,6.707333,6,0.195074,0.448096,0.014499,0,0
0,40,-4.750000,5.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,43,-4.750000,6.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,12,-4.250000,-8.750000,9.710751,4,0.863726,0.326476,0.019430,0,0
1,13,-4.250000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,14,-4.250000,-7.750000,8.837001,5,1.000000,0.390482,0.017809,0,0
1,15,-4.250000,-7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,18,-4.250000,-5.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,19,-4.250000,-5.250000,6.769334,3,0.085510,0.257061,0.014582,0,0
1,20,-4.250000,-4.750000,6.375690,29,0.228532,0.917656,0.014065,0,0
1,21,-4.250000,-4.250000,6.133307,39,0.717394,0.926179,0.013762,0,0
1,22,-4.250000,-3.750000,5.808778,18,0.335419,0.829566,0.013374,0,0
1,23,-4.250000,-3.250000,5.395672,70,0.504821,0.954820,0.012911,0,0
1,24,-4.250000,-2.750000,5.203763,106,0.520684,0.976074,0.012708,0,0
1,25,-4.250000,-2.250000,4.944785,148,0.750957,0.983905,0.012445,0,0
1,26,-4.250000,-1.750000,4.732297,84,0.483001,0.981530,0.012239,0,0
1,27,-4.250000,-1.250000,4.662537,41,0.353995,0.971596,0.012174,0,0
1,28,-4.250000,-0.750000,4.572000,3,0.301884,0.123552,0.012090,0,0
1,29,-4.250000,-0.250000,4.528039,26,0.123200,0.919095,0.012050,0,0
1,30,-4.250000,0.250000,4.559167,18,0.307870,0.821463,0.012079,0,0
1,31,-4.250000,0.750000,4.662565,23,0.166982,0.883343,0.012174,0,0
1,32,-4.250000,1.250000,4.629731,104,0.432266,0.979272,0.012143,0,0
1,33,-4.250000,1.750000,4.786161,131,0.478752,0.990940,0.012291,0,0
1,34,-4.250000,2.250000,4.942562,98,1.000000,0.963172,0.012443,0,0
1,35,-4.250000,2.750000,5.130156,135,0.865097,0.954742,0.012632,0,0
1,36,-4.250000,3.250000,5.455092,65,1.000000,0.918884,0.012976,0,0
1,37,-4.250000,3.750000,5.700834,30,0.723498,0.915867,0.013250,0,0
1,38,-4.250000,4.250000,6.087750,4,0.008260,0.326142,0.013706,0,0
2,11,-3.750000,-9.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,12,-3.750000,-8.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,15,-3.750000,-7.250000,8.025334,3,0.064752,0.254445,0.016441,0,0
2,16,-3.750000,-6.750000,7.771750,4,0.970067,0.327354,0.016040,0,0
2,17,-3.750000,-6.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,18,-3.750000,-5.750000,6.769250,4,0.626844,0.323719,0.014582,0,0
2,19,-3.750000,-5.250000,6.522273,11,0.363317,0.640468,0.014254,0,0
2,20,-3.750000,-4.750000,6.011629,51,0.379274,0.961291,0.013614,0,0
2,21,-3.750000,-4.250000,5.767945,90,1.000000,0.927165,0.013327,0,0
2,22,-3.750000,-3.750000,5.406141,64,0.922787,0.910669,0.012923,0,0
2,23,-3.750000,-3.250000,4.984153,79,0.472614,0.958727,0.012484,0,0
2,24,-3.750000,-2.750000,4.790088,158,0.929757,0.976915,0.012294,0,0
2,25,-3.750000,-2.250000,4.579604,151,0.962530,0.985851,0.012097,0,0
2,26,-3.750000,-1.750000,4.481844,51,0.426569,0.927136,0.012009,0,0
2,27,-3.750000,-1.250000,4.322001,4,1.000000,0.283860,0.011868,0,0
2,33,-3.750000,1.750000,4.407650,57,0.620750,0.970832,0.011943,0,0
2,34,-3.750000,2.250000,4.517867,148,0.724352,0.979097,0.012041,0,0
2,35,-3.750000,2.750000,4.779320,119,1.000000,0.968306,0.012284,0,0
2,36,-3.750000,3.250000,5.079700,50,0.625958,0.917024,0.012580,0,0
2,37,-3.750000,3.750000,5.234167,6,0.131525,0.442010,0.012740,0,0
3,11,-3.250000,-9.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,12,-3.250000,-8.750000,9.279428,7,0.054326,0.488485,0.018611,0,0
3,13,-3.250000,-8.250000,8.878334,3,1.000000,0.257152,0.017882,0,0
3,14,-3.250000,-7.750000,8.505625,8,0.344293,0.535501,0.017235,0,0
3,15,-3.250000,-7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
3,16,-3.250000,-6.750000,7.500555,9,0.239760,0.579638,0.015626,0,0
3,17,-3.250000,-6.250000,7.038375,16,0.227865,0.777329,0.014954,0,0
3,18,-3.250000,-5.750000,6.720810,21,0.564662,0.860766,0.014517,0,0
3,19,-3.250000,-5.250000,6.276886,35,0.509250,0.935421,0.013940,0,0
3,20,-3.250000,-4.750000,5.862304,95,0.619835,0.959539,0.013437,0,0
3,21,-3.250000,-4.250000,5.499283,92,0.344935,0.988277,0.013024,0,0
3,22,-3.250000,-3.750000,5.110883,77,1.000000,0.937950,0.012612,0,0
3,23,-3.250000,-3.250000,4.744146,205,1.000000,0.962127,0.012251,0,0
3,24,-3.250000,-2.750000,4.492544,184,0.674851,0.992093,0.012018,0,0
3,25,-3.250000,-2.250000,4.340500,14,0.317688,0.716008,0.011884,0,0
3,32,-3.250000,1.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,33,-3.250000,1.750000,3.936429,7,0.668241,0.420410,0.011550,0,0
3,34,-3.250000,2.250000,4.239645,45,0.767376,0.959154,0.011797,0,0
3,35,-3.250000,2.750000,4.492940,168,1.000000,0.929460,0.012019,0,0
3,36,-3.250000,3.250000,4.716123,154,1.000000,0.921391,0.012224,0,0
3,37,-3.250000,3.750000,5.005589,95,0.956891,0.909316,0.012506,0,0
3,38,-3.250000,4.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
3,39,-3.250000,4.750000,5.928667,3,1.000000,0.218260,0.013515,0,0
3,40,-3.250000,5.250000,6.251364,11,0.307655,0.649805,0.013908,0,0
3,41,-3.250000,5.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
4,12,-2.750000,-8.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
4,14,-2.750000,-7.750000,8.326428,7,0.111979,0.492948,0.016933,0,0
4,15,-2.750000,-7.250000,7.835333,6,0.495984,0.443731,0.016139,0,0
4,16,-2.750000,-6.750000,7.469143,7,0.554098,0.484059,0.015579,0,0
4,17,-2.750000,-6.250000,6.770500,10,0.149102,0.623913,0.014584,0,0
4,18,-2.750000,-5.750000,6.397038,26,0.715497,0.872969,0.014092,0,0
4,19,-2.750000,-5.250000,6.033594,32,0.639303,0.894820,0.013640,0,0
4,20,-2.750000,-4.750000,5.528224,67,0.350374,0.968553,0.013056,0,0
4,21,-2.750000,-4.250000,5.222778,126,0.952292,0.969891,0.012728,0,0
4,22,-2.750000,-3.750000,4.806396,116,0.518848,0.967840,0.012310,0,0
4,23,-2.750000,-3.250000,4.450195,168,0.796015,0.976295,0.011980,0,0
4,24,-2.750000,-2.750000,4.365833,6,0.305759,0.372847,0.011906,0,0
4,34,-2.750000,2.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
4,35,-2.750000,2.750000,4.150815,27,0.912069,0.910755,0.011723,0,0
