frame_id,worker_id,x,y,vx,vy,vehicle_v,vehicle_dir
0,0,8.0,0.4,-0.6,0.0,2.0,0.0
0,1,14.0,-0.3,0.0,0.0,2.0,0.0
1,0,7.94,0.4,-0.6,0.0,2.0,0.0
1,1,14.0,-0.3,0.0,0.0,2.0,0.0
2,0,7.88,0.4,-0.6,0.0,2.0,0.0
2,1,14.0,-0.3,0.0,0.0,2.0,0.0
3,0,7.82,0.4,-0.6,0.0,2.0,0.0
3,1,14.0,-0.3,0.0,0.0,2.0,0.0
4,0,7.76,0.4,-0.6,0.0,2.0,0.0
4,1,14.0,-0.3,0.0,0.0,2.0,0.0
5,0,7.7,0.4,-0.6,0.0,2.0,0.0
5,1,14.0,-0.3,0.0,0.0,2.0,0.0
6,0,7.64,0.4,-0.6,0.0,2.0,0.0
6,1,14.0,-0.3,0.0,0.0,2.0,0.0
7,0,7.58,0.4,-0.6,0.0,2.0,0.0
7,1,14.0,-0.3,0.0,0.0,2.0,0.0
8,0,7.52,0.4,-0.6,0.0,2.0,0.0
8,1,14.0,-0.3,0.0,0.0,2.0,0.0
9,0,7.46,0.4,-0.6,0.0,2.0,0.0
9,1,14.0,-0.3,0.0,0.0,2.0,0.0
10,0,7.4,0.4,-0.6,0.0,2.0,0.0
10,1,14.0,-0.3,0.0,0.0,2.0,0.0
11,0,7.34,0.4,-0.6,0.0,2.0,0.0
11,1,14.0,-0.3,0.0,0.0,2.0,0.0
12,0,7.28,0.4,-0.6,0.0,2.0,0.0
12,1,14.0,-0.3,0.0,0.0,2.0,0.0
13,0,7.22,0.4,-0.6,0.0,2.0,0.0
13,1,14.0,-0.3,0.0,0.0,2.0,0.0
14,0,7.16,0.4,-0.6,0.0,2.0,0.0
14,1,14.0,-0.3,0.0,0.0,2.0,0.0
15,0,7.1,0.4,-0.6,0.0,2.0,0.0
15,1,14.0,-0.3,0.0,0.0,2.0,0.0
16,0,7.04,0.4,-0.6,0.0,2.0,0.0
16,1,14.0,-0.3,0.0,0.0,2.0,0.0
17,0,6.98,0.4,-0.6,0.0,2.0,0.0
17,1,14.0,-0.3,0.0,0.0,2.0,0.0
18,0,6.92,0.4,-0.6,0.0,2.0,0.0
18,1,14.0,-0.3,0.0,0.0,2.0,0.0
19,0,6.859999999999999,0.4,-0.6,0.0,2.0,0.0
19,1,14.0,-0.3,0.0,0.0,2.0,0.0
20,0,6.8,0.4,-0.6,0.0,2.0,0.0
20,1,14.0,-0.3,0.0,0.0,2.0,0.0
21,0,6.74,0.4,-0.6,0.0,2.0,0.0
21,1,14.0,-0.3,0.0,0.0,2.0,0.0
22,0,6.68,0.4,-0.6,0.0,2.0,0.0
22,1,14.0,-0.3,0.0,0.0,2.0,0.0
23,0,6.62,0.4,-0.6,0.0,2.0,0.0
23,1,14.0,-0.3,0.0,0.0,2.0,0.0
24,0,6.5600000000000005,0.4,-0.6,0.0,2.0,0.0
24,1,14.0,-0.3,0.0,0.0,2.0,0.0
25,0,6.5,0.4,-0.6,0.0,2.0,0.0
25,1,14.0,-0.3,0.0,0.0,2.0,0.0
26,0,6.4399999999999995,0.4,-0.6,0.0,2.0,0.0
26,1,14.0,-0.3,0.0,0.0,2.0,0.0
27,0,6.38,0.4,-0.6,0.0,2.0,0.0
27,1,14.0,-0.3,0.0,0.0,2.0,0.0
28,0,6.32,0.4,-0.6,0.0,2.0,0.0
28,1,14.0,-0.3,0.0,0.0,2.0,0.0
29,0,6.26,0.4,-0.6,0.0,2.0,0.0
29,1,14.0,-0.3,0.0,0.0,2.0,0.0
30,0,6.2,0.4,-0.6,0.0,2.0,0.0
30,1,14.0,-0.3,0.0,0.0,2.0,0.0
31,0,6.140000000000001,0.4,-0.6,0.0,2.0,0.0
31,1,14.0,-0.3,0.0,0.0,2.0,0.0
32,0,6.08,0.4,-0.6,0.0,2.0,0.0
32,1,14.0,-0.3,0.0,0.0,2.0,0.0
33,0,6.02,0.4,-0.6,0.0,2.0,0.0
33,1,14.0,-0.3,0.0,0.0,2.0,0.0
34,0,5.96,0.4,-0.6,0.0,2.0,0.0
34,1,14.0,-0.3,0.0,0.0,2.0,0.0
35,0,5.9,0.4,-0.6,0.0,2.0,0.0
35,1,14.0,-0.3,0.0,0.0,2.0,0.0
36,0,5.84,0.4,-0.6,0.0,2.0,0.0
