frame_id,worker_id,x,y,vx,vy,vehicle_v,vehicle_dir
0,0,3.6113,5.8160,2.0000,2.0000,2.0,0.0
1,0,5.0150,7.7547,2.0000,2.0000,2.0,0.0
2,0,6.4188,9.6934,2.0000,2.0000,2.0,0.0
3,0,6.6188,9.6934,0.0000,0.0000,2.0,0.0
4,0,6.8188,9.6934,0.0000,0.0000,2.0,0.0
5,0,7.0188,9.6934,0.0000,0.0000,2.0,0.0
6,0,7.2188,9.6934,0.0000,0.0000,2.0,0.0
7,0,7.4188,9.6934,0.0000,0.0000,2.0,0.0
8,0,7.6188,9.6934,-0.6985,-0.6518,2.0,0.0
9,0,7.6791,9.5630,-1.3971,-1.3036,2.0,0.0
10,0,7.7394,9.4326,-1.3971,-1.3036,2.0,0.0
11,0,7.7997,9.3023,-1.3971,-1.3036,2.0,0.0
12,0,7.8600,9.1719,-1.3971,-1.3036,2.0,0.0
13,0,7.9203,9.0416,-0.6985,-0.6518,2.0,0.0
14,0,8.1203,9.0416,0.0000,0.0000,2.0,0.0
15,0,8.3203,9.0416,0.0000,0.0000,2.0,0.0
16,0,8.5203,9.0416,0.0000,0.0000,2.0,0.0
17,0,8.7203,9.0416,0.0000,0.0000,2.0,0.0
18,0,8.9203,9.0416,0.0000,0.0000,2.0,0.0
19,0,9.1203,9.0416,0.0000,0.0000,2.0,0.0
20,0,9.3203,9.0416,0.0000,0.0000,2.0,0.0
21,0,9.5203,9.0416,0.0000,0.0000,2.0,0.0
22,0,9.7203,9.0416,0.0000,0.0000,2.0,0.0
23,0,9.9203,9.0416,0.0000,0.0000,2.0,0.0
24,0,10.1203,9.0416,0.0000,0.0000,2.0,0.0
25,0,10.3203,9.0416,0.0000,0.0000,2.0,0.0
26,0,10.5203,9.0416,0.0000,0.0000,2.0,0.0
27,0,10.7203,9.0416,0.0000,0.0000,2.0,0.0
28,0,10.9203,9.0416,0.0000,0.0000,2.0,0.0
29,0,11.1203,9.0416,0.0000,0.0000,2.0,0.0
30,0,11.3203,9.0416,0.0000,0.0000,2.0,0.0
31,0,11.5203,9.0416,0.0000,0.0000,2.0,0.0
32,0,11.7203,9.0416,0.0000,0.0000,2.0,0.0
33,0,11.9203,9.0416,0.0000,0.0000,2.0,0.0
34,0,12.1203,9.0416,0.0000,0.0000,2.0,0.0
35,0,12.3203,9.0416,0.0000,0.0000,2.0,0.0
36,0,12.5203,9.0416,0.0000,0.0000,2.0,0.0
37,0,12.7203,9.0416,0.0000,0.0000,2.0,0.0
38,0,12.9203,9.0416,0.0000,0.0000,2.0,0.0
39,0,13.1203,9.0416,0.0000,0.0000,2.0,0.0
40,0,13.3203,9.0416,0.0000,0.0000,2.0,0.0
41,0,13.5203,9.0416,-0.2925,-0.7208,2.0,0.0
42,0,13.6617,8.8974,-0.5850,-1.4416,2.0,0.0
43,0,13.8032,8.7532,-0.5850,-1.4416,2.0,0.0
44,0,13.9447,8.6091,-0.5850,-1.4416,2.0,0.0
45,0,14.0862,8.4649,-0.5850,-1.4416,2.0,0.0
46,0,14.2277,8.3208,-0.2925,-0.7208,2.0,0.0
47,0,14.4277,8.3208,0.0000,0.0000,2.0,0.0
48,0,14.6277,8.3208,0.0000,0.0000,2.0,0.0
49,0,14.8277,8.3208,0.0000,0.0000,2.0,0.0
50,0,15.0277,8.3208,0.0000,0.0000,2.0,0.0
51,0,15.2277,8.3208,0.0000,0.0000,2.0,0.0
52,0,15.4277,8.3208,0.0000,0.0000,2.0,0.0
53,0,15.6277,8.3208,0.0000,0.0000,2.0,0.0
